edge_id,addr,light,cctv,police,convenience,land_type,road_type,safety_rate
2420192103,서울특별시 관악구 은천로 118,3,1,0,0,0,1,4
2420192109,서울특별시 관악구 중앙길 108,3,1,0,0,0,0,4
2420192184,서울특별시 관악구 양녕로6다길 30,2,1,0,0,0,0,2
2420192185,서울특별시 관악구 양녕로6다길 29,2,0,0,0,0,0,3
2420192186,서울특별시 관악구 양녕로6다길 23,1,0,0,0,0,0,3
2420192187,서울특별시 관악구 양녕로6다길 17,2,0,0,0,0,0,3
2420192189,서울특별시 관악구 양녕로6다길 39,4,0,0,0,0,0,3
2420192190,서울특별시 관악구 양녕로6라길 29,2,0,0,0,0,0,2
2420192268,서울특별시 관악구 중앙2길 5-4,3,0,0,0,0,0,2
2420192271,서울특별시 관악구 중앙길 17,1,0,0,0,0,0,3
2420192274,서울특별시 관악구 중앙길 23,2,0,0,0,0,0,3
2420192275,서울특별시 관악구 중앙1길 26,2,0,0,0,0,0,3
2420192276,서울특별시 관악구 중앙길 35-2,1,1,0,0,0,0,3
2420192277,서울특별시 관악구 은천로28가길 44-19,3,1,0,0,0,0,3
2420192278,서울특별시 관악구 중앙길 32,2,1,0,0,0,0,4
2420192279,서울특별시 관악구 중앙길 28-12,3,0,0,0,0,0,2
2420192282,서울특별시 관악구 은천로28가길 51,3,0,0,0,0,0,3
2420192283,서울특별시 관악구 은천로28가길 47,2,0,0,0,0,0,3
2420192284,서울특별시 관악구 은천로32길 35,1,0,0,0,0,0,3
2420192285,서울특별시 관악구 은천로28가길 39,2,0,0,0,0,0,2
2420192286,서울특별시 관악구 중앙길 42-5,3,0,0,0,0,0,3
2420192287,서울특별시 관악구 중앙길 38,2,1,0,0,0,0,4
2420192288,서울특별시 관악구 중앙길 52-6,3,1,0,0,0,0,3
2420192290,서울특별시 관악구 중앙길 45,2,0,0,0,0,0,3
2420192291,서울특별시 관악구 중앙길 52,2,1,0,0,0,0,3
2420192292,서울특별시 관악구 양녕로6다길 50,4,0,0,0,0,0,2
2420192293,서울특별시 관악구 중앙1길 38,1,0,0,0,0,0,3
2420192295,서울특별시 관악구 중앙1길 50-5,2,1,0,0,0,0,2
2420192296,서울특별시 관악구 중앙1길 55,1,0,0,0,0,0,2
2420192297,서울특별시 관악구 중앙1길 46,0,0,0,0,0,0,2
2420192298,서울특별시 관악구 중앙1길 59-8,3,1,0,0,0,0,3
2420192299,서울특별시 관악구 중앙1길 64,2,0,0,0,0,0,3
2420192300,서울특별시 관악구 중앙길 71,1,0,0,0,0,0,3
2420192301,서울특별시 관악구 중앙길 62,3,1,0,0,0,0,3
2420192302,서울특별시 관악구 중앙길 70-6,4,0,0,0,0,0,3
2420192303,서울특별시 관악구 은천로28가길 15,2,0,0,0,0,0,3
2420192304,서울특별시 관악구 은천로28가길 23,4,1,0,0,0,0,3
2420192305,서울특별시 관악구 은천로32길 22-3,5,1,0,0,0,0,2
2420192306,서울특별시 관악구 은천로28가길 35,2,0,0,0,0,0,3
2420192307,서울특별시 관악구 은천로28가길 29,3,1,0,0,0,0,3
2420192308,서울특별시 관악구 은천로32길 28,1,0,0,0,0,0,2
2420192309,서울특별시 관악구 은천로32길 31,2,0,0,0,0,0,3
2420192310,서울특별시 관악구 은천로32길 23,4,0,0,0,0,0,3
2420192311,서울특별시 관악구 양녕로6나길 18,2,0,0,1,0,0,4
2420192312,서울특별시 관악구 양녕로6나길 18,0,0,0,0,0,0,4
2420192313,서울특별시 관악구 양녕로6나길 28-5,4,1,0,0,0,0,4
2420192319,서울특별시 관악구 양녕로6나길 34,1,0,0,0,0,0,3
2420192321,서울특별시 관악구 중앙길 100,5,1,0,0,0,0,3
2420192329,서울특별시 관악구 은천로32길 10,5,1,0,0,0,0,3
2420192338,서울특별시 관악구 은천로34길 20,2,0,0,0,0,0,2
2420192339,서울특별시 관악구 관악로25길 27,3,1,0,0,0,0,2
2420192340,서울특별시 관악구 은천로36길 16,1,1,0,0,0,0,2
2420192341,서울특별시 관악구 은천로36길 9,2,1,0,0,0,0,2
2420192344,서울특별시 관악구 은천로38길 9,2,0,0,0,0,0,1
2420192345,서울특별시 관악구 은천로38길 17,2,0,0,0,0,0,1
2420192346,서울특별시 관악구 중앙2길 16,5,0,0,0,0,0,2
2420192358,서울특별시 관악구 관악로25길 14,3,0,0,0,0,0,3
2420192369,서울특별시 관악구 양녕로6다길 13-3,5,1,0,0,0,0,2
2420192389,서울특별시 관악구 은천로33길 12,3,1,0,0,0,0,4
2420192394,서울특별시 관악구 은천로35다길 40,5,0,0,0,0,0,3
2420192395,서울특별시 관악구 은천로35라길 23,3,0,0,0,0,0,3
2420192396,서울특별시 관악구 은천로35라길 17,3,1,0,0,0,0,3
2420192459,서울특별시 관악구 봉천로 387,2,0,0,0,0,1,5
2420192460,서울특별시 관악구 봉천로 387,0,0,0,0,0,1,5
2420192461,서울특별시 관악구 봉천로 387,0,0,0,0,0,1,5
2420192462,서울특별시 관악구 봉천로 387,0,0,0,0,0,1,5
2420192463,서울특별시 관악구 봉천로 387,0,0,0,0,0,1,5
2420192464,서울특별시 관악구 봉천로 387,0,0,0,0,0,1,5
2420192477,서울특별시 관악구 은천로39길 34,3,1,0,0,0,0,3
2420192478,서울특별시 관악구 은천로37길 42-20,5,1,0,0,0,0,3
2420192481,서울특별시 관악구 은천로35라길 27,0,0,0,0,0,0,3
2420192482,서울특별시 관악구 은천로33길 24,0,0,0,0,0,0,4
2420192483,서울특별시 관악구 은천로35마길 10,4,1,0,0,0,0,2
2420192484,서울특별시 관악구 은천로35길 53,3,1,0,0,0,0,2
2420192494,서울특별시 관악구 은천로39길 56,0,0,0,0,0,0,3
2420192495,서울특별시 관악구 은천로33길 18,0,0,0,0,0,0,4
2420192496,서울특별시 관악구 성현로 80,0,0,0,0,0,1,3
2420192497,서울특별시 관악구 성현로 80,0,0,0,0,0,1,2
2420192498,서울특별시 관악구 은천로33길 5,0,0,0,0,0,0,4
2420192533,서울특별시 관악구 은천로21길 27,8,1,0,0,0,0,2
2420192534,서울특별시 관악구 은천로21길 42,3,1,0,0,0,0,3
2420192535,서울특별시 관악구 은천로25길 57,0,0,0,0,0,0,5
2420192636,서울특별시 관악구 은천로19길 14-15,0,0,0,0,0,0,1
2420192637,서울특별시 관악구 은천로19길 36-1,0,0,0,0,0,0,1
2420192648,서울특별시 관악구 은천로19길 36,1,0,0,0,0,0,1
2420192676,서울특별시 관악구 은천로19길 48-9,0,1,0,0,0,0,4
2420192724,서울특별시 관악구 은천로19길 40,1,0,0,0,0,0,2
2420192728,서울특별시 관악구 은천로19길 48,1,1,0,0,0,0,2
2420192729,서울특별시 관악구 은천로19길 48,0,1,0,0,0,0,2
2420192933,서울특별시 관악구 봉천로 387,2,0,0,0,0,1,5
2420192935,서울특별시 관악구 봉천로 387,1,0,0,0,0,1,5
2420193047,서울특별시 관악구 봉천로 287,2,1,0,0,0,1,5
2420193061,서울특별시 관악구 청룡3길 11,5,0,0,0,0,0,3
2420193062,서울특별시 관악구 청룡3길 22,2,0,0,0,0,0,3
2420193063,서울특별시 관악구 남부순환로214길 36,4,1,0,1,0,0,3
2420193064,서울특별시 관악구 청룡5길 15,6,1,0,1,0,0,4
2420193073,서울특별시 관악구 청룡7길 13,4,0,0,1,0,0,4
2420193081,서울특별시 관악구 청룡1길 34,2,0,0,0,0,0,2
2420193082,서울특별시 관악구 청룡1길 37,1,0,0,1,0,0,3
2420193083,서울특별시 관악구 남부순환로216길 13,1,0,0,0,0,0,4
2420193084,서울특별시 관악구 청룡3길 41,3,0,0,0,0,0,4
2420193085,서울특별시 관악구 남부순환로214길 23,1,0,0,0,0,0,4
2420193086,서울특별시 관악구 쑥고개로21길 30,3,0,0,0,0,0,4
2420193087,서울특별시 관악구 쑥고개로21길 19,2,0,0,0,0,0,4
2420193088,서울특별시 관악구 쑥고개로 101-6,2,1,0,1,0,0,4
2420193089,서울특별시 관악구 청룡7길 55,2,1,0,0,0,0,3
2420193090,서울특별시 관악구 관악로13길 46,1,1,0,0,0,0,4
2420193091,서울특별시 관악구 관악로15길 47-20,2,0,0,0,0,0,3
2420193092,서울특별시 관악구 관악로15길 47-16,4,0,0,0,0,0,3
2420193093,서울특별시 관악구 관악로15길 47-14,2,0,0,0,0,0,3
2420193094,서울특별시 관악구 관악로15길 47-6,3,0,0,0,0,0,3
2420193095,서울특별시 관악구 관악로15길 56,3,1,0,0,0,0,2
2420193110,서울특별시 관악구 남부순환로216길 35-5,2,0,0,0,0,0,3
2420193111,서울특별시 관악구 남부순환로216길 37,2,0,0,0,0,0,3
2420193112,서울특별시 관악구 남부순환로216길 31,3,1,0,0,0,0,4
2420193113,서울특별시 관악구 관악로17길 37,2,0,0,0,0,0,2
2420193114,서울특별시 관악구 관악로17길 13,2,0,0,1,0,0,3
2420193115,서울특별시 관악구 남부순환로220길 16,0,0,0,0,0,0,2
2420193116,서울특별시 관악구 관악로15길 21,0,0,0,0,0,0,4
2420193118,서울특별시 관악구 남부순환로218길 18,0,0,0,0,0,0,4
2420193119,서울특별시 관악구 관악로15길 44,2,0,0,1,0,0,4
2420193120,서울특별시 관악구 남부순환로218길 30,0,0,0,0,0,0,3
2420193122,서울특별시 관악구 관악로13길 20,1,0,0,0,0,0,4
2420193123,서울특별시 관악구 남부순환로220길 34,0,0,0,0,0,0,3
2420193124,서울특별시 관악구 관악로15길 23-10,0,0,0,0,0,0,2
2420193125,서울특별시 관악구 관악로13길 42,1,1,0,1,0,0,4
2420193126,서울특별시 관악구 쑥고개로 123,2,0,0,1,0,1,5
2420193128,서울특별시 관악구 쑥고개로 133,1,0,0,0,0,1,2
2420193131,서울특별시 관악구 청룡7길 50,3,0,0,0,0,0,3
2420193133,서울특별시 관악구 남부순환로214길 49,1,0,0,1,0,0,3
2420193209,서울특별시 관악구 남부순환로228길 47,2,0,0,0,0,0,2
2420193210,서울특별시 관악구 관악로12길 38,1,0,0,0,0,0,3
2420193211,서울특별시 관악구 관악로12길 32-3,1,0,0,0,0,0,2
2420193215,서울특별시 관악구 남부순환로228길 37,4,0,0,0,0,0,3
2420193216,서울특별시 관악구 관악로12길 43,2,0,0,0,0,0,3
2420193217,서울특별시 관악구 관악로12길 47,3,0,0,1,0,0,4
2420193218,서울특별시 관악구 관악로12길 55,6,0,0,0,0,0,4
2420193219,서울특별시 관악구 남부순환로230길 41,3,0,0,0,0,0,4
2420193222,서울특별시 관악구 관악로14길 42,2,0,0,0,0,0,4
2420193223,서울특별시 관악구 관악로14길 38-3,2,1,0,0,0,0,2
2420193224,서울특별시 관악구 관악로14길 38-9,4,1,0,0,0,0,2
2420193228,서울특별시 관악구 관악로14길 35,2,0,0,1,0,0,4
2420193229,서울특별시 관악구 관악로14길 28,4,1,0,1,0,0,4
2420193234,서울특별시 관악구 관악로12길 23,1,0,0,1,0,0,3
2420193235,서울특별시 관악구 관악로12길 29,2,0,0,0,0,0,3
2420193259,서울특별시 관악구 남부순환로234길 49,3,0,0,1,0,0,2
2420193264,서울특별시 관악구 남부순환로234길 43,4,0,0,1,0,0,3
2420193270,서울특별시 관악구 관악로12길 67,1,1,0,0,0,0,3
2420193271,서울특별시 관악구 관악로14가길 13,2,1,0,0,0,0,3
2420193272,서울특별시 관악구 관악로14가길 5,2,1,0,0,0,0,3
2420193273,서울특별시 관악구 관악로14길 71,1,0,0,0,0,0,4
2420193274,서울특별시 관악구 관악로14길 76,0,0,0,0,0,0,4
2420193275,서울특별시 관악구 남부순환로234길 27,3,1,0,0,0,0,3
2420193276,서울특별시 관악구 남부순환로234길 35,2,0,0,0,0,0,3
2420193353,서울특별시 관악구 행운1마길 39,2,1,0,0,0,0,3
2420193354,서울특별시 관악구 행운1마길 36,0,0,0,0,0,0,2
2420193356,서울특별시 관악구 행운1마길 16,3,0,0,0,0,0,3
2420193357,서울특별시 관악구 행운1길 117,3,0,0,1,0,0,3
2420193389,서울특별시 관악구 행운1나길 24,5,1,0,0,0,0,2
2420193392,서울특별시 관악구 행운1길 84,1,0,0,1,0,0,4
2420193394,서울특별시 관악구 행운1다길 1,1,0,0,0,0,0,3
2420193395,서울특별시 관악구 행운1다길 6,2,0,0,0,0,0,3
2420193396,서울특별시 관악구 행운1다길 11,3,0,0,0,0,0,3
2420193397,서울특별시 관악구 행운1다길 18,3,1,0,0,0,0,3
2420193398,서울특별시 관악구 행운1다길 24,1,0,0,0,0,0,2
2420193399,서울특별시 관악구 행운1다길 26,3,0,0,0,0,0,2
2420193402,서울특별시 관악구 행운1가길 28,4,1,0,0,0,0,3
2420193520,서울특별시 관악구 행운1라길 43,6,0,0,0,0,0,3
2420193531,서울특별시 관악구 행운1길 113,1,0,0,1,0,0,4
2420193537,서울특별시 관악구 행운1길 96,3,0,0,0,0,0,3
2420193548,서울특별시 관악구 봉천로55길 3-10,5,0,0,0,0,0,2
2420193549,서울특별시 관악구 봉천로55길 5,5,0,0,0,0,0,4
2420193550,서울특별시 관악구 봉천로55길 19,5,1,0,0,0,0,3
2420193559,서울특별시 관악구 행운1라길 40-4,2,0,0,0,0,0,1
2420195439,서울특별시 관악구 관악로 229-5,4,0,0,0,0,0,1
2420195450,서울특별시 관악구 관악로29길 3,0,0,0,0,0,0,3
2420195451,서울특별시 관악구 관악로29길 2,1,0,0,0,0,0,3
2420195452,서울특별시 관악구 관악로 251,2,0,0,1,0,1,4
2420195456,서울특별시 관악구 관악로29길 16-4,2,1,0,0,0,0,1
2420195458,서울특별시 관악구 행운1길 70,1,1,0,0,0,0,1
2420195459,서울특별시 관악구 행운1길 66-6,3,1,0,0,0,0,2
2420195460,서울특별시 관악구 행운1길 64,4,0,0,0,0,0,1
2420195461,서울특별시 관악구 행운1길 60-5,5,0,0,0,0,0,1
2420195462,서울특별시 관악구 행운1길 56-8,7,0,0,0,0,0,1
2420195463,서울특별시 관악구 행운1길 58,4,0,0,0,0,0,1
2420195464,서울특별시 관악구 행운1길 52,3,0,0,0,0,0,1
2420195505,서울특별시 관악구 봉천로55길 11-6,8,1,0,0,0,0,3
2420195533,서울특별시 관악구 남부순환로224길 5,0,0,0,0,0,0,4
2420195535,서울특별시 관악구 관악로16길 16,0,1,0,0,0,0,4
2420195538,서울특별시 관악구 관악로16길 34,4,1,0,0,0,0,4
2420195545,서울특별시 관악구 남부순환로228길 6,4,0,0,0,0,0,4
2420195548,서울특별시 관악구 남부순환로226길 25,1,1,0,0,0,0,3
2420195549,서울특별시 관악구 남부순환로224길 25,1,0,0,0,0,0,4
2420195550,서울특별시 관악구 관악로14길 16,5,1,0,0,0,0,4
2420195551,서울특별시 관악구 관악로14길 6,0,0,0,0,0,0,4
2420195563,서울특별시 관악구 관악로 157,0,0,0,0,0,1,3
2420195564,서울특별시 관악구 관악로15길 9,0,0,0,0,0,0,3
2420195570,서울특별시 관악구 남부순환로 1814,0,0,0,0,0,1,3
2420195571,서울특별시 관악구 남부순환로218길 1,0,0,0,0,0,0,4
2420195622,서울특별시 관악구 관악로14길 59,2,0,0,0,0,0,4
2420195623,서울특별시 관악구 남부순환로230길 35,3,0,0,0,0,0,4
2420195624,서울특별시 관악구 관악로14길 51,2,0,0,0,0,0,4
2420195625,서울특별시 관악구 관악로14길 45,3,0,0,0,0,0,4
2420195626,서울특별시 관악구 남부순환로228길 16,2,0,0,0,0,0,5
2420195627,서울특별시 관악구 남부순환로234길 21,1,1,0,0,0,0,3
2420195640,서울특별시 관악구 남부순환로 1852,0,0,0,0,0,1,4
2420195641,서울특별시 관악구 남부순환로 1852,1,0,0,0,0,1,5
2420195642,서울특별시 관악구 봉천로 516,0,0,0,0,0,1,3
2420195886,서울특별시 관악구 은천로34길 3,2,0,0,0,0,0,2
2420195892,서울특별시 관악구 은천로36길 3,2,0,0,0,0,0,3
2420195904,서울특별시 관악구 은천로 178,2,0,0,0,0,1,1
2420195919,서울특별시 관악구 은천로 130-3,1,1,0,0,0,0,4
2420195921,서울특별시 관악구 은천로24길 5,0,0,0,0,0,0,3
2420196056,서울특별시 관악구 남부순환로216길 2,0,0,0,0,0,0,3
2420196104,서울특별시 관악구 봉천로 308,1,0,0,1,0,1,5
2420196116,서울특별시 관악구 봉천로 493,2,1,0,0,0,1,5
2420196126,서울특별시 관악구 남부순환로 1852,0,0,0,0,0,1,5
2420196127,서울특별시 관악구 봉천로 505,1,1,0,0,0,1,5
2420196152,서울특별시 관악구 행운1마길 26,2,1,0,0,0,0,3
2420196153,서울특별시 관악구 행운1마길 24,2,1,0,0,0,0,4
2420196155,서울특별시 관악구 관악로 208-30,1,0,0,0,0,0,2
2420196156,서울특별시 관악구 행운1마길 36,0,0,0,0,0,0,2
2420196158,서울특별시 관악구 관악로6길 86,2,0,0,1,0,0,3
2420196176,서울특별시 관악구 남부순환로230길 60,1,0,0,1,0,0,3
2420196177,서울특별시 관악구 남부순환로230길 70,3,0,0,0,0,0,3
2420196178,서울특별시 관악구 관악로12길 58-2,0,0,0,0,0,0,4
2420196179,서울특별시 관악구 관악로12길 62,2,1,0,0,0,0,4
2420196181,서울특별시 관악구 남부순환로226길 12,1,0,0,0,0,0,3
2420196183,서울특별시 관악구 남부순환로226길 19,1,0,0,0,0,0,3
2420196185,서울특별시 관악구 남부순환로226길 25,1,1,0,0,0,0,2
2420196186,서울특별시 관악구 남부순환로226길 23-16,3,1,0,0,0,0,2
2420196192,서울특별시 관악구 관악로12길 71,5,0,0,1,0,0,3
2420196202,서울특별시 관악구 봉천로 534,0,1,0,0,0,1,3
2420196203,서울특별시 관악구 봉천로 520-1,0,0,0,0,0,0,3
2420196204,서울특별시 관악구 봉천로 528,0,0,0,0,0,1,3
2420196207,서울특별시 관악구 봉천로 522-1,1,0,0,0,0,0,2
2420196208,서울특별시 관악구 남부순환로 1860,0,0,0,0,0,1,5
2420196210,서울특별시 관악구 남부순환로 1855,0,0,0,0,0,1,5
2420196212,서울특별시 관악구 남부순환로 1859,0,1,0,0,0,1,5
2420196213,서울특별시 관악구 남부순환로 1855,0,0,0,0,0,1,5
